"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","Any SEN","All","State-funded mainstream","Church of England","20.9","%","1577","330"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Church of England","57.1","%","26852","15335"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","All","No identified SEN","All","State-funded mainstream","Church of England","59.8","%","13665","8177"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","Any SEN","All","State-funded mainstream","Church of England","17.8","%","2488","442"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Church of England","14.9","%","450","67"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","All","State-funded mainstream","Church of England","54.3","%","13187","7158"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN State EHC","All","All","State-funded mainstream","Church of England","12.1","%","182","22"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Church of England","54.3","%","13187","7158"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Church of England","19.9","%","3433","683"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","Girls","All","SEN Supp","All","All","State-funded mainstream","Church of England","22.1","%","1395","308"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Church of England","14.1","%","632","89"
