Ethnicity,Gender,FSM,SEN_type,SEN_grouping,Admission_type,School_characteristic,Religious_denomination,Value,Value_type,Denominator,Numerator
All,Girls,All,All,Any SEN,All,State-funded mainstream,Church of England,20.9,%,1577,330
All,All,All,All,No identified SEN,All,State-funded mainstream,Church of England,57.1,%,26852,15335
All,Girls,All,All,No identified SEN,All,State-funded mainstream,Church of England,59.8,%,13665,8177
All,Boys,All,All,Any SEN,All,State-funded mainstream,Church of England,17.8,%,2488,442
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,Church of England,14.9,%,450,67
All,Boys,All,All,No identified SEN,All,State-funded mainstream,Church of England,54.3,%,13187,7158
All,Girls,All,SEN State EHC,All,All,State-funded mainstream,Church of England,12.1,%,182,22
All,Boys,All,No SEN,All,All,State-funded mainstream,Church of England,54.3,%,13187,7158
All,All,All,SEN Supp,All,All,State-funded mainstream,Church of England,19.9,%,3433,683
All,Girls,All,SEN Supp,All,All,State-funded mainstream,Church of England,22.1,%,1395,308
All,All,All,SEN State EHC,All,All,State-funded mainstream,Church of England,14.1,%,632,89
All,All,All,No SEN,All,All,State-funded mainstream,Church of England,57.1,%,26852,15335
All,Boys,Non-FSM,All,All,All,State-funded mainstream,Church of England,52.2,%,13413,7006
All,Girls,Non-FSM,All,All,All,State-funded mainstream,Church of England,59.4,%,12931,7677
All,All,FSM,All,All,All,State-funded mainstream,Church of England,31.1,%,4573,1424
All,Boys,FSM,All,All,All,State-funded mainstream,Church of England,26.3,%,2262,594
All,All,Non-FSM,All,All,All,State-funded mainstream,Church of England,55.7,%,26344,14683
All,Girls,FSM,All,All,All,State-funded mainstream,Church of England,35.9,%,2311,830
All,Boys,All,All,All,All,State-funded mainstream,Church of England,48.5,%,15675,7600
All,All,All,All,All,All,State-funded mainstream,Church of England,52.1,%,30917,16107
All,Girls,All,All,All,All,State-funded mainstream,Church of England,55.8,%,15242,8507
All,Girls,All,All,All,All,All state-funded,Church of England,55.8,%,15242,8507
All,Boys,All,All,All,All,All state-funded,Church of England,48.5,%,15675,7600
All,All,All,All,All,All,All state-funded,Church of England,52.1,%,30917,16107
All,All,All,All,Any SEN,All,State-funded mainstream,Church of England,19,%,4065,772
All,Boys,All,SEN Supp,All,All,State-funded mainstream,Church of England,18.4,%,2038,375
All,Girls,All,No SEN,All,All,State-funded mainstream,Church of England,59.8,%,13665,8177
Asian,Girls,All,All,All,All,State-funded mainstream,Church of England,64.4,%,1215,783
Asian,Boys,All,All,All,All,State-funded mainstream,Church of England,59.7,%,1471,878
Asian,All,All,All,All,All,State-funded mainstream,Church of England,61.8,%,2686,1661
Black,Boys,All,All,All,All,State-funded mainstream,Church of England,42,%,1311,551
Black,Girls,All,All,All,All,State-funded mainstream,Church of England,53.5,%,1494,800
Black,All,All,All,All,All,State-funded mainstream,Church of England,48.2,%,2805,1351
Chinese,All,All,All,All,All,Academies and free schools,All,81.1,%,1489,1208
Chinese,Boys,All,All,All,All,Academies and free schools,All,77,%,732,564
Chinese,Girls,All,All,All,All,Academies and free schools,All,85.1,%,757,644
Mixed,Girls,All,All,All,All,State-funded mainstream,Church of England,55.9,%,911,509
Mixed,Boys,All,All,All,All,State-funded mainstream,Church of England,46.5,%,839,390
Mixed,All,All,All,All,All,State-funded mainstream,Church of England,51.4,%,1750,899
Other,Boys,All,All,All,All,State-funded mainstream,Church of England,50.3,%,336,169
Other,Girls,All,All,All,All,State-funded mainstream,Church of England,62.9,%,353,222
Other,All,All,All,All,All,State-funded mainstream,Church of England,56.7,%,689,391
Unknown,Girls,All,All,All,All,State-funded mainstream,Church of England,52.2,%,251,131
Unknown,Boys,All,All,All,All,State-funded mainstream,Church of England,37.1,%,361,134
Unknown,All,All,All,All,All,State-funded mainstream,Church of England,43.3,%,612,265
White,Boys,All,All,All,All,State-funded mainstream,Church of England,48,%,11275,5411
White,Girls,All,All,All,All,State-funded mainstream,Church of England,54.8,%,10942,5997
White,All,All,All,All,All,State-funded mainstream,Church of England,51.3,%,22217,11408
All,Boys,All,All,No identified SEN,All,State-funded mainstream,Hindu,!,%,98,!
All,Girls,All,All,No identified SEN,All,State-funded mainstream,Hindu,!,%,72,!
All,Boys,All,All,Any SEN,All,State-funded mainstream,Hindu,!,%,3,!
All,Boys,All,No SEN,All,All,State-funded mainstream,Hindu,!,%,98,!
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,Hindu,!,%,1,!
All,Girls,All,No SEN,All,All,State-funded mainstream,Hindu,!,%,72,!
All,All,All,SEN State EHC,All,All,State-funded mainstream,Hindu,!,%,1,!
All,All,All,SEN Supp,All,All,State-funded mainstream,Hindu,!,%,2,!
All,All,All,No SEN,All,All,State-funded mainstream,Hindu,!,%,170,!
All,Boys,FSM,All,All,All,State-funded mainstream,Hindu,!,%,6,!
All,Girls,FSM,All,All,All,State-funded mainstream,Hindu,!,%,5,!
All,Girls,Non-FSM,All,All,All,State-funded mainstream,Hindu,!,%,67,!
All,All,Non-FSM,All,All,All,State-funded mainstream,Hindu,!,%,162,!
All,Boys,Non-FSM,All,All,All,State-funded mainstream,Hindu,!,%,95,!
All,All,FSM,All,All,All,State-funded mainstream,Hindu,!,%,11,!
All,All,All,All,All,All,State-funded mainstream,Hindu,!,%,173,!
All,Girls,All,All,All,All,State-funded mainstream,Hindu,!,%,72,!
All,Boys,All,All,All,All,All state-funded,Hindu,!,%,101,!
All,All,All,All,All,All,All state-funded,Hindu,!,%,173,!
All,Girls,All,All,All,All,All state-funded,Hindu,!,%,72,!
All,All,All,All,No identified SEN,All,State-funded mainstream,Hindu,!,%,170,!
All,All,All,All,Any SEN,All,State-funded mainstream,Hindu,!,%,3,!
All,Boys,All,SEN Supp,All,All,State-funded mainstream,Hindu,!,%,2,!
All,Boys,All,All,All,All,State-funded mainstream,Hindu,!,%,101,!
Asian,Girls,All,All,All,All,State-funded mainstream,Hindu,!,%,66,!
Asian,Boys,All,All,All,All,State-funded mainstream,Hindu,!,%,74,!
Asian,All,All,All,All,All,State-funded mainstream,Hindu,!,%,140,!
Black,Boys,All,All,All,All,State-funded mainstream,Hindu,!,%,4,!
Black,All,All,All,All,All,State-funded mainstream,Hindu,!,%,4,!
Mixed,Boys,All,All,All,All,State-funded mainstream,Hindu,!,%,16,!
Mixed,Girls,All,All,All,All,State-funded mainstream,Hindu,!,%,4,!
Mixed,All,All,All,All,All,State-funded mainstream,Hindu,!,%,20,!
Other,Boys,All,All,All,All,State-funded mainstream,Hindu,!,%,3,!
Other,All,All,All,All,All,State-funded mainstream,Hindu,!,%,3,!
White,Girls,All,All,All,All,State-funded mainstream,Hindu,!,%,2,!
White,Boys,All,All,All,All,State-funded mainstream,Hindu,!,%,4,!
White,All,All,All,All,All,State-funded mainstream,Hindu,!,%,6,!
All,Boys,All,All,Any SEN,All,State-funded mainstream,Jewish,38.6,%,88,34
All,Boys,All,All,No identified SEN,All,State-funded mainstream,Jewish,80.1,%,584,468
All,Girls,All,All,No identified SEN,All,State-funded mainstream,Jewish,80.9,%,691,559
All,All,All,All,No identified SEN,All,State-funded mainstream,Jewish,80.5,%,1275,1027
All,Girls,All,SEN Supp,All,All,State-funded mainstream,Jewish,46.7,%,45,21
All,Girls,All,No SEN,All,All,State-funded mainstream,Jewish,80.9,%,691,559
All,Boys,All,No SEN,All,All,State-funded mainstream,Jewish,80.1,%,584,468
All,Girls,All,All,Any SEN,All,State-funded mainstream,Jewish,40.3,%,62,25
All,Girls,All,SEN State EHC,All,All,State-funded mainstream,Jewish,23.5,%,17,4
All,Boys,All,SEN State EHC,All,All,State-funded mainstream,Jewish,39.1,%,23,9
